run_id,experiment,dataset,split_type,fold,regime,detector,rho_assumed,rho_used,metric,value,n_test,n_pos_test,check
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,alert_rate,0.0034760015448895756,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,prevalence,0.001316667251852112,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,lift,69.04484848484849,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,tie_ratio,0.006723898807956319,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,fit_seconds,5.852074861526489,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,score_seconds,0.10718226432800293,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,PR_AUC,0.06951265687905143,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,ROC_AUC,0.9585235056632739,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,Precision,0.11170212765957446,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,Recall,0.28,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,F1,0.1596958174904943,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,TN,56720.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,FP,167.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,FN,54.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,TP,21.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,n_alerts,188.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,alert_rate,0.003300445911309294,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,prevalence,0.001316667251852112,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,lift,84.83702127659573,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,tie_ratio,0.07104861220835312,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,fit_seconds,0.0,56962,75,
76d9f69ec5b6,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,score_seconds,0.0,56962,75,
1f4898d5f2ae,headline,ULB,chronological,0,U,Ensemble,0.005,0.005,single_point_invariant,1.0,56962,75,invariance
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,PR_AUC,0.03689637579882185,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,ROC_AUC,0.9442236949273707,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,Precision,0.02717391304347826,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,Recall,0.06666666666666667,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,F1,0.03861003861003861,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,TN,56708.0,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,FP,179.0,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,FN,70.0,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,TP,5.0,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,n_alerts,184.0,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,alert_rate,0.003230223657877181,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,prevalence,0.001316667251852112,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,lift,20.63840579710145,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,tie_ratio,0.01824055055213214,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,fit_seconds,1.3209044933319092,56962,75,
279e1a61acdd,headline,ULB,chronological,0,N,IsolationForest,0.005,0.005,score_seconds,1.5948939323425293,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,PR_AUC,0.603157863943587,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,ROC_AUC,0.9266049068035462,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,Precision,0.09320695102685624,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,Recall,0.7866666666666666,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,F1,0.16666666666666666,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,TN,56313.0,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,FP,574.0,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,FN,16.0,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,TP,59.0,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,n_alerts,633.0,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,alert_rate,0.011112671605631825,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,prevalence,0.001316667251852112,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,lift,70.79005792522379,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,tie_ratio,0.02154105440564602,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,fit_seconds,0.8666379451751709,56962,75,
f0dd03f1b5ac,headline,ULB,chronological,0,N,LOF,0.005,0.005,score_seconds,5.896246671676636,56962,75,
